508 1:119 2:310 3:348 4:621 5:881
738 1:310 2:348 3:621 4:881 5:508
778 1:348 2:621 3:881 4:508 5:738
656 1:621 2:881 3:508 4:738 5:778
519 1:881 2:508 3:738 4:778 5:656
731 1:508 2:738 3:778 4:656 5:519
758 1:738 2:778 3:656 4:519 5:731
764 1:778 2:656 3:519 4:731 5:758
566 1:656 2:519 3:731 4:758 5:764
585 1:519 2:731 3:758 4:764 5:566
736 1:731 2:758 3:764 4:566 5:585
772 1:758 2:764 3:566 4:585 5:736
793 1:764 2:566 3:585 4:736 5:772
718 1:566 2:585 3:736 4:772 5:793
534 1:585 2:736 3:772 4:793 5:718
703 1:736 2:772 3:793 4:718 5:534
760 1:772 2:793 3:718 4:534 5:703
777 1:793 2:718 3:534 4:703 5:760
815 1:718 2:534 3:703 4:760 5:777
600 1:534 2:703 3:760 4:777 5:815
614 1:703 2:760 3:777 4:815 5:600
745 1:760 2:777 3:815 4:600 5:614
764 1:777 2:815 3:600 4:614 5:745
780 1:815 2:600 3:614 4:745 5:764
803 1:600 2:614 3:745 4:764 5:780
500 1:614 2:745 3:764 4:780 5:803
702 1:745 2:764 3:780 4:803 5:500
760 1:764 2:780 3:803 4:500 5:702
752 1:780 2:803 3:500 4:702 5:760
834 1:803 2:500 3:702 4:760 5:752
670 1:500 2:702 3:760 4:752 5:834
530 1:702 2:760 3:752 4:834 5:670
756 1:760 2:752 3:834 4:670 5:530
760 1:752 2:834 3:670 4:530 5:756
793 1:834 2:670 3:530 4:756 5:760
825 1:670 2:530 3:756 4:760 5:793
531 1:530 2:756 3:760 4:793 5:825
636 1:756 2:760 3:793 4:825 5:531
771 1:760 2:793 3:825 4:531 5:636
780 1:793 2:825 3:531 4:636 5:771
799 1:825 2:531 3:636 4:771 5:780
732 1:531 2:636 3:771 4:780 5:799
537 1:636 2:771 3:780 4:799 5:732
711 1:771 2:780 3:799 4:732 5:537
758 1:780 2:799 3:732 4:537 5:711
771 1:799 2:732 3:537 4:711 5:758
